Cell	Target	Treatment	Duration	Replicate	Replicate.2	Run	SRR	ExperimentSRX	ControlName	Raw	SampleName	Library	Concat
HepG2	H3K4me1	-	-	rep1	1	U	SRR350912	SRX099898	ENCSR055XHN.1	HepG2.H3K4me1.-.-.rep1	HepG2.H3K4me1.-.-	Single	HepG2.H3K4me1.-.-.rep1.U
HepG2	H3K4me1	-	-	rep1	1	U	SRR350913	SRX099898	ENCSR055XHN.2	HepG2.H3K4me1.-.-.rep1	HepG2.H3K4me1.-.-	Single	HepG2.H3K4me1.-.-.rep1.U
HepG2	H3K27ac	-	-	rep1	1	U	SRR227575	SRX067494	ENCSR055XHN.1	HepG2.H3K27ac.-.-.rep1	HepG2.H3K27ac.-.-	Single	HepG2.H3K27ac.-.-.rep1.U
HepG2	H3K27ac	-	-	rep1	1	U	SRR227576	SRX067494	ENCSR055XHN.2	HepG2.H3K27ac.-.-.rep1	HepG2.H3K27ac.-.-	Single	HepG2.H3K27ac.-.-.rep1.U
HepG2	H3K4me3	-	-	rep1	1	U	SRR5338968	SRX2636050	ENCSR055XHN.1	HepG2.H3K4me3.-.-.rep1	HepG2.H3K4me3.-.-	Single	HepG2.H3K4me3.-.-.rep1.U
HepG2	H3K4me3	-	-	rep2	1	U	SRR5338969	SRX2636051	ENCSR055XHN.2	HepG2.H3K4me3.-.-.rep2	HepG2.H3K4me3.-.-	Single	HepG2.H3K4me3.-.-.rep2.U
HepG2	POLR2A	-	-	rep1	1	U	SRR502609	SRX150682	SRX150683.1	HepG2.POLR2A.-.-.rep1	HepG2.POLR2A.-.-	Single	HepG2.POLR2A.-.-.rep1.U
HepG2	POLR2A	-	-	rep1	1	U	SRR502610	SRX150682	SRX150683.1	HepG2.POLR2A.-.-.rep1	HepG2.POLR2A.-.-	Single	HepG2.POLR2A.-.-.rep1.U
K562	H3K27ac	-	-	rep1	1	U	SRR227385	SRX067407	ENCSR000AKY.1	K562.H3K27ac.-.-.rep1	K562.H3K27ac.-.-	Single	K562.H3K27ac.-.-.rep1.U
K562	H3K27ac	-	-	rep1	1	U	SRR227386	SRX067407	ENCSR000AKY.2	K562.H3K27ac.-.-.rep1	K562.H3K27ac.-.-	Single	K562.H3K27ac.-.-.rep1.U
K562	H3K4me1	-	-	rep1	1	U	SRR227464	SRX067443	ENCSR000AKY.1	K562.H3K4me1.-.-.rep1	K562.H3K4me1.-.-	Single	K562.H3K4me1.-.-.rep1.U
